cik,symbol,sector,sub_industry,date,year,accession,primary_doc,path
0000066740,MMM,Industrials,Industrial Conglomerates,2026-02-03,2026,0000066740-26-000014,mmm-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674026000014\mmm-20251231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2025-02-05,2025,0000066740-25-000006,mmm-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674025000006\mmm-20241231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2024-02-07,2024,0000066740-24-000016,mmm-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674024000016\mmm-20231231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2023-02-08,2023,0000066740-23-000014,mmm-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674023000014\mmm-20221231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2022-02-09,2022,0000066740-22-000010,mmm-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000006674022000010\mmm-20211231.htm
0000066740,MMM,Industrials,Industrial Conglomerates,2021-02-04,2021,0001558370-21-000737,mmm-20201231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000066740\000155837021000737\mmm-20201231x10k.htm
0000091142,AOS,Industrials,Building Products,2026-02-10,2026,0000091142-26-000008,aos-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114226000008\aos-20251231.htm
0000091142,AOS,Industrials,Building Products,2025-02-11,2025,0000091142-25-000036,aos-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114225000036\aos-20241231.htm
0000091142,AOS,Industrials,Building Products,2024-02-13,2024,0000091142-24-000041,aos-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114224000041\aos-20231231.htm
0000091142,AOS,Industrials,Building Products,2023-02-14,2023,0000091142-23-000025,aos-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114223000025\aos-20221231.htm
0000091142,AOS,Industrials,Building Products,2022-02-11,2022,0000091142-22-000028,aos-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114222000028\aos-20211231.htm
0000091142,AOS,Industrials,Building Products,2021-02-12,2021,0000091142-21-000025,aos-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000091142\000009114221000025\aos-20201231.htm
0000001800,ABT,Health Care,Health Care Equipment,2026-02-20,2026,0001628280-26-010185,abt-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828026010185\abt-20251231.htm
0000001800,ABT,Health Care,Health Care Equipment,2025-02-21,2025,0001628280-25-007110,abt-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828025007110\abt-20241231.htm
0000001800,ABT,Health Care,Health Care Equipment,2024-02-16,2024,0001628280-24-005348,abt-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828024005348\abt-20231231.htm
0000001800,ABT,Health Care,Health Care Equipment,2023-02-17,2023,0001628280-23-004026,abt-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000162828023004026\abt-20221231.htm
0000001800,ABT,Health Care,Health Care Equipment,2022-02-18,2022,0001104659-22-025141,abt-20211231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000110465922025141\abt-20211231x10k.htm
0000001800,ABT,Health Care,Health Care Equipment,2021-02-19,2021,0001104659-21-025751,abt-20201231x10k.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000001800\000110465921025751\abt-20201231x10k.htm
0001551152,ABBV,Health Care,Biotechnology,2026-02-20,2026,0001551152-26-000008,abbv-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115226000008\abbv-20251231.htm
0001551152,ABBV,Health Care,Biotechnology,2025-02-14,2025,0001551152-25-000020,abbv-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115225000020\abbv-20241231.htm
0001551152,ABBV,Health Care,Biotechnology,2024-02-20,2024,0001551152-24-000011,abbv-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115224000011\abbv-20231231.htm
0001551152,ABBV,Health Care,Biotechnology,2023-02-17,2023,0001551152-23-000011,abbv-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115223000011\abbv-20221231.htm
0001551152,ABBV,Health Care,Biotechnology,2022-02-18,2022,0001551152-22-000007,abbv-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115222000007\abbv-20211231.htm
0001551152,ABBV,Health Care,Biotechnology,2021-02-19,2021,0001551152-21-000008,abbv-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001551152\000155115221000008\abbv-20201231.htm
0001467373,ACN,Information Technology,IT Consulting & Other Services,2025-10-10,2025,0001467373-25-000217,acn-20250831.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001467373\000146737325000217\acn-20250831.htm
0001467373,ACN,Information Technology,IT Consulting & Other Services,2024-10-10,2024,0001467373-24-000278,acn-20240831.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001467373\000146737324000278\acn-20240831.htm
0001467373,ACN,Information Technology,IT Consulting & Other Services,2023-10-12,2023,0001467373-23-000324,acn-20230831.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001467373\000146737323000324\acn-20230831.htm
0000796343,ADBE,Information Technology,Application Software,2026-01-15,2026,0000796343-26-000003,adbe-20251128.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634326000003\adbe-20251128.htm
0000796343,ADBE,Information Technology,Application Software,2025-01-13,2025,0000796343-25-000004,adbe-20241129.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634325000004\adbe-20241129.htm
0000796343,ADBE,Information Technology,Application Software,2024-01-17,2024,0000796343-24-000006,adbe-20231201.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634324000006\adbe-20231201.htm
0000796343,ADBE,Information Technology,Application Software,2023-01-17,2023,0000796343-23-000007,adbe-20221202.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634323000007\adbe-20221202.htm
0000796343,ADBE,Information Technology,Application Software,2022-01-21,2022,0000796343-22-000032,adbe-20211203.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634322000032\adbe-20211203.htm
0000796343,ADBE,Information Technology,Application Software,2021-01-15,2021,0000796343-21-000004,adbe-20201127.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000796343\000079634321000004\adbe-20201127.htm
0000002488,AMD,Information Technology,Semiconductors,2026-02-04,2026,0000002488-26-000018,amd-20251227.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002488\000000248826000018\amd-20251227.htm
0000002488,AMD,Information Technology,Semiconductors,2025-02-05,2025,0000002488-25-000012,amd-20241228.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002488\000000248825000012\amd-20241228.htm
0000002488,AMD,Information Technology,Semiconductors,2024-01-31,2024,0000002488-24-000012,amd-20231230.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002488\000000248824000012\amd-20231230.htm
0000002488,AMD,Information Technology,Semiconductors,2023-02-27,2023,0000002488-23-000047,amd-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002488\000000248823000047\amd-20221231.htm
0000002488,AMD,Information Technology,Semiconductors,2022-02-03,2022,0000002488-22-000016,amd-20211225.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002488\000000248822000016\amd-20211225.htm
0000002488,AMD,Information Technology,Semiconductors,2021-01-29,2021,0001628280-21-001185,amd-20201226.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002488\000162828021001185\amd-20201226.htm
0000874761,AES,Utilities,Independent Power Producers & Energy Traders,2026-03-02,2026,0000874761-26-000063,aes-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000874761\000087476126000063\aes-20251231.htm
0000874761,AES,Utilities,Independent Power Producers & Energy Traders,2025-03-11,2025,0000874761-25-000013,aes-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000874761\000087476125000013\aes-20241231.htm
0000874761,AES,Utilities,Independent Power Producers & Energy Traders,2024-02-26,2024,0000874761-24-000011,aes-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000874761\000087476124000011\aes-20231231.htm
0000874761,AES,Utilities,Independent Power Producers & Energy Traders,2023-03-01,2023,0000874761-23-000010,aes-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000874761\000087476123000010\aes-20221231.htm
0000874761,AES,Utilities,Independent Power Producers & Energy Traders,2022-02-28,2022,0000874761-22-000022,aes-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000874761\000087476122000022\aes-20211231.htm
0000874761,AES,Utilities,Independent Power Producers & Energy Traders,2021-02-25,2021,0000874761-21-000015,aes-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000874761\000087476121000015\aes-20201231.htm
0000004977,AFL,Financials,Life & Health Insurance,2026-02-25,2026,0001628280-26-011402,afl-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000004977\000162828026011402\afl-20251231.htm
0000004977,AFL,Financials,Life & Health Insurance,2025-02-26,2025,0000004977-25-000047,afl-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000004977\000000497725000047\afl-20241231.htm
0000004977,AFL,Financials,Life & Health Insurance,2024-02-22,2024,0000004977-24-000053,afl-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000004977\000000497724000053\afl-20231231.htm
0000004977,AFL,Financials,Life & Health Insurance,2023-02-24,2023,0000004977-23-000055,afl-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000004977\000000497723000055\afl-20221231.htm
0000004977,AFL,Financials,Life & Health Insurance,2022-02-23,2022,0000004977-22-000058,afl-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000004977\000000497722000058\afl-20211231.htm
0000004977,AFL,Financials,Life & Health Insurance,2021-02-23,2021,0000004977-21-000047,afl-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000004977\000000497721000047\afl-20201231.htm
0001090872,A,Health Care,Life Sciences Tools & Services,2025-12-22,2025,0001090872-25-000087,a-20251031.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001090872\000109087225000087\a-20251031.htm
0001090872,A,Health Care,Life Sciences Tools & Services,2024-12-20,2024,0001090872-24-000049,a-20241031.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001090872\000109087224000049\a-20241031.htm
0001090872,A,Health Care,Life Sciences Tools & Services,2023-12-20,2023,0001090872-23-000020,a-20231031.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001090872\000109087223000020\a-20231031.htm
0001090872,A,Health Care,Life Sciences Tools & Services,2022-12-21,2022,0001090872-22-000026,a-20221031.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001090872\000109087222000026\a-20221031.htm
0001090872,A,Health Care,Life Sciences Tools & Services,2021-12-17,2021,0001090872-21-000027,a-20211031.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001090872\000109087221000027\a-20211031.htm
0001090872,A,Health Care,Life Sciences Tools & Services,2020-12-18,2020,0001090872-20-000020,a-20201031.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001090872\000109087220000020\a-20201031.htm
0000002969,APD,Materials,Industrial Gases,2025-11-20,2025,0000002969-25-000055,apd-20250930.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002969\000000296925000055\apd-20250930.htm
0000002969,APD,Materials,Industrial Gases,2024-11-21,2024,0000002969-24-000056,apd-20240930.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002969\000000296924000056\apd-20240930.htm
0000002969,APD,Materials,Industrial Gases,2023-11-16,2023,0000002969-23-000047,apd-20230930.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002969\000000296923000047\apd-20230930.htm
0000002969,APD,Materials,Industrial Gases,2022-11-22,2022,0000002969-22-000054,apd-20220930.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002969\000000296922000054\apd-20220930.htm
0000002969,APD,Materials,Industrial Gases,2021-11-18,2021,0000002969-21-000055,apd-20210930.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002969\000000296921000055\apd-20210930.htm
0000002969,APD,Materials,Industrial Gases,2020-11-19,2020,0000002969-20-000049,apd-20200930.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000002969\000000296920000049\apd-20200930.htm
0001559720,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-02-12,2026,0001559720-26-000004,abnb-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001559720\000155972026000004\abnb-20251231.htm
0001559720,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-02-13,2025,0001559720-25-000010,abnb-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001559720\000155972025000010\abnb-20241231.htm
0001559720,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2024-02-16,2024,0001559720-24-000006,abnb-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001559720\000155972024000006\abnb-20231231.htm
0001559720,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-02-17,2023,0001559720-23-000003,abnb-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001559720\000155972023000003\abnb-20221231.htm
0001086222,AKAM,Information Technology,Internet Services & Infrastructure,2026-02-20,2026,0001086222-26-000022,akam-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001086222\000108622226000022\akam-20251231.htm
0001086222,AKAM,Information Technology,Internet Services & Infrastructure,2025-02-24,2025,0001086222-25-000028,akam-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001086222\000108622225000028\akam-20241231.htm
0001086222,AKAM,Information Technology,Internet Services & Infrastructure,2024-02-28,2024,0001086222-24-000040,akam-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001086222\000108622224000040\akam-20231231.htm
0001086222,AKAM,Information Technology,Internet Services & Infrastructure,2023-02-28,2023,0001086222-23-000078,akam-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001086222\000108622223000078\akam-20221231.htm
0001086222,AKAM,Information Technology,Internet Services & Infrastructure,2022-02-28,2022,0001086222-22-000058,akam-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001086222\000108622222000058\akam-20211231.htm
0001086222,AKAM,Information Technology,Internet Services & Infrastructure,2021-02-26,2021,0001086222-21-000075,akam-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001086222\000108622221000075\akam-20201231.htm
0000915913,ALB,Materials,Specialty Chemicals,2026-02-11,2026,0000915913-26-000018,alb-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000915913\000091591326000018\alb-20251231.htm
0000915913,ALB,Materials,Specialty Chemicals,2025-02-12,2025,0000915913-25-000026,alb-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000915913\000091591325000026\alb-20241231.htm
0000915913,ALB,Materials,Specialty Chemicals,2024-02-15,2024,0000915913-24-000016,alb-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000915913\000091591324000016\alb-20231231.htm
0000915913,ALB,Materials,Specialty Chemicals,2023-02-15,2023,0000915913-23-000039,alb-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000915913\000091591323000039\alb-20221231.htm
0000915913,ALB,Materials,Specialty Chemicals,2022-02-22,2022,0000915913-22-000027,alb-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000915913\000091591322000027\alb-20211231.htm
0000915913,ALB,Materials,Specialty Chemicals,2021-02-19,2021,0000915913-21-000018,alb-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000915913\000091591321000018\alb-20201231.htm
0001035443,ARE,Real Estate,Office REITs,2026-01-26,2026,0001035443-26-000013,are-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001035443\000103544326000013\are-20251231.htm
0001035443,ARE,Real Estate,Office REITs,2025-01-27,2025,0001035443-25-000067,are-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001035443\000103544325000067\are-20241231.htm
0001035443,ARE,Real Estate,Office REITs,2024-01-29,2024,0001035443-24-000072,are-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001035443\000103544324000072\are-20231231.htm
0001035443,ARE,Real Estate,Office REITs,2023-01-30,2023,0001035443-23-000099,are-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001035443\000103544323000099\are-20221231.htm
0001035443,ARE,Real Estate,Office REITs,2022-01-31,2022,0001035443-22-000040,are-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001035443\000103544322000040\are-20211231.htm
0001035443,ARE,Real Estate,Office REITs,2021-02-01,2021,0001035443-21-000044,are-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001035443\000103544321000044\are-20201231.htm
0001097149,ALGN,Health Care,Health Care Supplies,2026-02-27,2026,0001097149-26-000014,algn-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001097149\000109714926000014\algn-20251231.htm
0001097149,ALGN,Health Care,Health Care Supplies,2025-02-28,2025,0001097149-25-000012,algn-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001097149\000109714925000012\algn-20241231.htm
0001097149,ALGN,Health Care,Health Care Supplies,2024-02-28,2024,0001097149-24-000011,algn-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001097149\000109714924000011\algn-20231231.htm
0001097149,ALGN,Health Care,Health Care Supplies,2023-02-27,2023,0001097149-23-000013,algn-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001097149\000109714923000013\algn-20221231.htm
0001097149,ALGN,Health Care,Health Care Supplies,2022-02-25,2022,0001097149-22-000011,algn-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001097149\000109714922000011\algn-20211231.htm
0001097149,ALGN,Health Care,Health Care Supplies,2021-02-26,2021,0001097149-21-000007,algn-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001097149\000109714921000007\algn-20201231.htm
0001579241,ALLE,Industrials,Building Products,2026-02-17,2026,0001579241-26-000007,alle-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001579241\000157924126000007\alle-20251231.htm
0001579241,ALLE,Industrials,Building Products,2025-02-18,2025,0001579241-25-000008,alle-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001579241\000157924125000008\alle-20241231.htm
0001579241,ALLE,Industrials,Building Products,2024-02-20,2024,0001579241-24-000006,alle-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001579241\000157924124000006\alle-20231231.htm
0001579241,ALLE,Industrials,Building Products,2023-02-22,2023,0001579241-23-000006,alle-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001579241\000157924123000006\alle-20221231.htm
0001579241,ALLE,Industrials,Building Products,2022-02-15,2022,0001579241-22-000019,alle-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001579241\000157924122000019\alle-20211231.htm
0001579241,ALLE,Industrials,Building Products,2021-02-16,2021,0001579241-21-000020,alle-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001579241\000157924121000020\alle-20201231.htm
0000352541,LNT,Utilities,Electric Utilities,2026-02-20,2026,0000352541-26-000007,lnt-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000352541\000035254126000007\lnt-20251231.htm
0000352541,LNT,Utilities,Electric Utilities,2025-02-21,2025,0000352541-25-000014,lnt-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000352541\000035254125000014\lnt-20241231.htm
0000352541,LNT,Utilities,Electric Utilities,2024-02-16,2024,0000352541-24-000014,lnt-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000352541\000035254124000014\lnt-20231231.htm
0000352541,LNT,Utilities,Electric Utilities,2023-02-24,2023,0000352541-23-000017,lnt-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000352541\000035254123000017\lnt-20221231.htm
0000352541,LNT,Utilities,Electric Utilities,2022-02-18,2022,0000352541-22-000020,lnt-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000352541\000035254122000020\lnt-20211231.htm
0000352541,LNT,Utilities,Electric Utilities,2021-02-19,2021,0000352541-21-000022,lnt-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000352541\000035254121000022\lnt-20201231.htm
0000899051,ALL,Financials,Property & Casualty Insurance,2026-02-20,2026,0000899051-26-000031,all-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000899051\000089905126000031\all-20251231.htm
0000899051,ALL,Financials,Property & Casualty Insurance,2025-02-24,2025,0000899051-25-000015,all-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000899051\000089905125000015\all-20241231.htm
0000899051,ALL,Financials,Property & Casualty Insurance,2024-02-21,2024,0000899051-24-000013,all-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000899051\000089905124000013\all-20231231.htm
0000899051,ALL,Financials,Property & Casualty Insurance,2023-02-16,2023,0000899051-23-000020,all-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000899051\000089905123000020\all-20221231.htm
0000899051,ALL,Financials,Property & Casualty Insurance,2022-02-18,2022,0000899051-22-000015,all-20211231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000899051\000089905122000015\all-20211231.htm
0000899051,ALL,Financials,Property & Casualty Insurance,2021-02-22,2021,0000899051-21-000011,all-20201231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000899051\000089905121000011\all-20201231.htm
0001652044,GOOGL,Communication Services,Interactive Media & Services,2026-02-05,2026,0001652044-26-000018,goog-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204426000018\goog-20251231.htm
0001652044,GOOGL,Communication Services,Interactive Media & Services,2025-02-05,2025,0001652044-25-000014,goog-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204425000014\goog-20241231.htm
0001652044,GOOGL,Communication Services,Interactive Media & Services,2024-01-31,2024,0001652044-24-000022,goog-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204424000022\goog-20231231.htm
0001652044,GOOGL,Communication Services,Interactive Media & Services,2023-02-03,2023,0001652044-23-000016,goog-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204423000016\goog-20221231.htm
0001652044,GOOG,Communication Services,Interactive Media & Services,2026-02-05,2026,0001652044-26-000018,goog-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204426000018\goog-20251231.htm
0001652044,GOOG,Communication Services,Interactive Media & Services,2025-02-05,2025,0001652044-25-000014,goog-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204425000014\goog-20241231.htm
0001652044,GOOG,Communication Services,Interactive Media & Services,2024-01-31,2024,0001652044-24-000022,goog-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204424000022\goog-20231231.htm
0001652044,GOOG,Communication Services,Interactive Media & Services,2023-02-03,2023,0001652044-23-000016,goog-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0001652044\000165204423000016\goog-20221231.htm
0000764180,MO,Consumer Staples,Tobacco,2026-02-25,2026,0000764180-26-000017,mo-20251231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000764180\000076418026000017\mo-20251231.htm
0000764180,MO,Consumer Staples,Tobacco,2025-02-26,2025,0000764180-25-000019,mo-20241231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000764180\000076418025000019\mo-20241231.htm
0000764180,MO,Consumer Staples,Tobacco,2024-02-27,2024,0000764180-24-000018,mo-20231231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000764180\000076418024000018\mo-20231231.htm
0000764180,MO,Consumer Staples,Tobacco,2023-02-27,2023,0000764180-23-000020,mo-20221231.htm,E:\원표\한원표 비즈니스\프로그램 개발\new folder\empirical\real_data\filings\0000764180\000076418023000020\mo-20221231.htm
