firm_id,cik,symbol,year,sector,sub_industry,flat,tau,K,ROA,ROA,log_size,log_age,n_exec_officers,doc_wordcount,keywords_total,employees,total_assets,market_cap,founded_year
0000066740,0000066740,MMM,2023,Industrials,Industrial Conglomerates,0.5,0.1390728476821192,0.0665606783253842,-0.1382957690786872,-0.0770353383773612,11.010398644018933,4.795790545596741,1,85592,88,60500.0,50580000000.0,77560160256.0,1902.0
0000066740,0000066740,MMM,2022,Industrials,Industrial Conglomerates,0.5,0.13768115942028986,0.0665606783253842,0.1243569045312668,0.1243569045312668,11.010398644018933,4.787491742782046,1,85367,90,60500.0,46455000000.0,77560160256.0,1902.0
0000001800,0000001800,ABT,2025,Health Care,Health Care Equipment,0.1,0.45751633986928103,0.0665606783253842,0.0752367003794125,0.0752367003794125,11.711776323715394,4.919980925828125,9,51418,80,122000.0,86713000000.0,161117962240.0,1888.0
0000001800,0000001800,ABT,2024,Health Care,Health Care Equipment,0.0909090909090909,0.48366013071895425,0.0665606783253842,0.1646154224089223,0.1646154224089223,11.711776323715394,4.912654885736052,10,52514,80,122000.0,81414000000.0,161117962240.0,1888.0
0000001800,0000001800,ABT,2023,Health Care,Health Care Equipment,0.0434782608695652,0.543046357615894,0.0665606783253842,0.0781681099243314,0.0781681099243314,11.711776323715394,4.90527477843843,22,50887,82,122000.0,73214000000.0,161117962240.0,1888.0
0000001800,0000001800,ABT,2022,Health Care,Health Care Equipment,0.0434782608695652,0.717391304347826,0.0665606783253842,0.0931379134313119,0.0931379134313119,11.711776323715394,4.897839799950911,22,50695,97,122000.0,74438000000.0,161117962240.0,1888.0
0001551152,0001551152,ABBV,2024,Health Care,Biotechnology,0.5,0.1895424836601307,0.0665606783253842,0.0316511419714266,0.0316511419714266,10.950806546816688,2.3978952727983707,1,65962,79,57000.0,135161000000.0,362808541184.0,2013.0
0001551152,0001551152,ABBV,2023,Health Care,Biotechnology,0.5,0.18543046357615894,0.0665606783253842,0.0360995018966528,0.0360995018966528,10.950806546816688,2.302585092994046,1,65269,76,57000.0,134711000000.0,362808541184.0,2013.0
0001551152,0001551152,ABBV,2022,Health Care,Biotechnology,0.5,0.2028985507246377,0.0665606783253842,0.0852707035049169,0.0852707035049169,10.950806546816688,2.1972245773362196,1,66532,74,57000.0,138805000000.0,362808541184.0,2013.0
0000796343,0000796343,ADBE,2022,Information Technology,Application Software,0.5,0.8985507246376812,0.0665606783253842,0.1750782256580158,0.1750782256580158,10.353288474464344,3.6888794541139363,1,58407,149,31360.0,27165000000.0,100759691264.0,1982.0
0000874761,0000874761,AES,2025,Utilities,Independent Power Producers & Energy Traders,0.5,0.3137254901960784,0.0665606783253842,0.0175784268273837,0.0175784268273837,9.028338763993148,3.784189633918261,1,141019,192,8336.0,51768000000.0,10296754176.0,1981.0
0000874761,0000874761,AES,2024,Utilities,Independent Power Producers & Energy Traders,0.5,0.30718954248366015,0.0665606783253842,0.0354174577057756,0.0354174577057756,9.028338763993148,3.7612001156935624,1,134837,179,8336.0,47406000000.0,10296754176.0,1981.0
0000874761,0000874761,AES,2023,Utilities,Independent Power Producers & Energy Traders,0.5,0.3841059602649007,0.0665606783253842,0.0055581597803522,0.0055581597803522,9.028338763993148,3.7376696182833684,1,137313,193,8336.0,44799000000.0,10296754176.0,1981.0
0000874761,0000874761,AES,2022,Utilities,Independent Power Producers & Energy Traders,0.5,0.5289855072463768,0.0665606783253842,-0.0142324635716706,-0.0142324635716706,9.028338763993148,3.713572066704308,1,136156,209,8336.0,38363000000.0,10296754176.0,1981.0
0001090872,0001090872,A,2025,Health Care,Life Sciences Tools & Services,0.5,0.21568627450980393,0.0665606783253842,0.1023807653021136,0.1023807653021136,9.798127036878302,3.258096538021482,1,79630,99,18000.0,12727000000.0,34531893248.0,1999.0
0001035443,0001035443,ARE,2025,Real Estate,Office REITs,0.3333333333333333,0.9084967320261438,0.0665606783253842,-0.0419452180318342,-0.0419452180318342,6.2422232654551655,3.4339872044851463,2,125369,359,514.0,34081835000.0,8285490688.0,1994.0
0001035443,0001035443,ARE,2024,Real Estate,Office REITs,0.1666666666666666,0.9084967320261438,0.0665606783253842,0.0086056742092967,0.0086056742092967,6.2422232654551655,3.4011973816621555,5,119929,347,514.0,37527449000.0,8285490688.0,1994.0
0001035443,0001035443,ARE,2023,Real Estate,Office REITs,0.1,0.8675496688741722,0.0665606783253842,0.0028184674601202,0.0028184674601202,6.2422232654551655,3.367295829986474,9,119361,291,514.0,36771402000.0,8285490688.0,1994.0
0001035443,0001035443,ARE,2022,Real Estate,Office REITs,0.125,0.8695652173913043,0.0665606783253842,0.0146849686315208,0.0146849686315208,6.2422232654551655,3.332204510175204,7,120880,298,514.0,35523399000.0,8285490688.0,1994.0
0000352541,0000352541,LNT,2023,Utilities,Electric Utilities,0.5,0.6754966887417219,0.0665606783253842,0.0331026039459434,0.0331026039459434,7.988882253309227,4.663439094112067,1,77830,144,2948.0,21237000000.0,18373787648.0,1917.0
0000764180,0000764180,MO,2025,Consumer Staples,Tobacco,0.5,0.0718954248366013,0.0086601715380131,0.1983893537424679,0.1983893537424679,8.68270762989381,3.6888794541139363,1,83419,83,5900.0,35017000000.0,108088213504.0,1985.0
0000764180,0000764180,MO,2024,Consumer Staples,Tobacco,0.5,0.026143790849673203,0.0089858269002981,0.3202092276203201,0.2710897144993706,8.68270762989381,3.6635616461296463,1,78567,67,5900.0,35177000000.0,108088213504.0,1985.0
